i,U,K,Px,Py,Pz
227,-56569876.76496126,36371862.1244581,-5305.688953316973,8574.259819943261,-4676.433495311344
228,-56551276.998645216,36356430.54304619,-5305.688953315654,8574.259819945466,-4676.43349531177
229,-56532296.27619941,36370939.42325495,-5305.688953317143,8574.259819945819,-4676.433495309121
230,-56513125.51576501,36450188.29033477,-5305.688953318956,8574.259819946878,-4676.433495307808
231,-56493146.597814254,36435438.653689764,-5305.688953321112,8574.259819946274,-4676.433495307406
232,-56472690.6176299,36420052.68044647,-5305.688953320874,8574.25981994637,-4676.433495304602
233,-56452262.32595011,36404053.08137812,-5305.688953318871,8574.259819947118,-4676.433495304882
234,-56432539.21371225,36387108.77354841,-5305.68895331851,8574.259819944944,-4676.433495305257
235,-56412971.0342806,36381133.17818933,-5305.688953317865,8574.259819938141,-4676.433495302702
236,-56393980.50485295,36396260.817074224,-5305.688953319194,8574.25981993304,-4676.433495300225
237,-56375861.18033398,36463901.31096914,-5305.688953321114,8574.259819930312,-4676.43349529711
238,-56357059.399467446,36683563.67655879,-5305.688953319741,8574.259819927845,-4676.433495293515
239,-56338854.9129305,36670067.22634082,-5305.688953317836,8574.259819927316,-4676.433495293356
240,-56322172.50784557,36659850.880023554,-5305.688953318578,8574.259819924637,-4676.433495293644
241,-56305814.951027006,36651036.73977213,-5305.6889533200365,8574.259819924073,-4676.433495294144
242,-56290967.427108295,36642800.39122708,-5305.688953322036,8574.259819924933,-4676.433495294867
243,-56276417.518889844,36638828.96749148,-5305.68895332302,8574.25981992386,-4676.433495295328
244,-56262951.815385334,36628993.226407714,-5305.688953322598,8574.259819923072,-4676.433495295834
245,-56249763.038636,36623990.20139376,-5305.6889533238655,8574.25981992228,-4676.433495298583
246,-56237651.81843358,36620774.22116965,-5305.68895332639,8574.25981991727,-4676.433495299606
247,-56225926.39551086,36617089.67080354,-5305.688953328233,8574.259819910938,-4676.4334952993295
248,-56214455.39406379,36613146.03498444,-5305.688953330337,8574.259819907778,-4676.43349530013
249,-56203036.624830715,36608018.038283974,-5305.688953330103,8574.259819904872,-4676.433495297717
250,-56192504.78273824,36602352.17761687,-5305.688953330205,8574.259819903891,-4676.433495296204
251,-56181678.854710065,36598334.29019456,-5305.688953334461,8574.259819903782,-4676.433495297557
252,-56171394.08798683,36592582.32994192,-5305.6889533384965,8574.259819902974,-4676.433495297752
253,-56161504.32783972,36587426.15277773,-5305.688953339786,8574.259819902414,-4676.433495298224
254,-56152062.59395262,36581466.465540044,-5305.688953338722,8574.259819899871,-4676.43349529505
255,-56142587.76440295,36577722.3956828,-5305.688953336652,8574.259819899253,-4676.433495289694
256,-56134081.60878405,36584608.28136007,-5305.688953340454,8574.25981990488,-4676.433495288914
257,-56125548.99568103,36611539.88207296,-5305.688953345975,8574.259819912037,-4676.433495289048
258,-56116395.23752766,36606384.149954855,-5305.688953346101,8574.25981991037,-4676.433495288796
259,-56108209.270490594,36614522.872243375,-5305.688953345311,8574.259819907116,-4676.433495289623
260,-56099854.74770245,36646600.25330126,-5305.68895334756,8574.259819908251,-4676.433495287476
261,-56091475.69343322,36642656.38197584,-5305.688953347336,8574.259819906112,-4676.433495285264
262,-56082884.16895865,36637999.04368693,-5305.688953345052,8574.259819903285,-4676.433495287949
263,-56074908.516599365,36634187.49452745,-5305.688953345537,8574.259819906114,-4676.433495291051
264,-56066542.7804328,36630941.14998951,-5305.688953345671,8574.259819910969,-4676.433495291572
265,-56058351.074572064,36633218.958568834,-5305.688953345856,8574.259819914694,-4676.433495291528
266,-56050026.34235866,36642027.7512362,-5305.688953344272,8574.259819917097,-4676.43349529444
267,-56041853.40172939,36640332.02884982,-5305.6889533403,8574.259819918703,-4676.433495297639
268,-56032688.33111242,36638428.764836565,-5305.688953339554,8574.25981992153,-4676.433495300353
269,-56024045.05758399,36644827.22551071,-5305.688953345787,8574.259819921146,-4676.4334953001935
270,-56014897.13759556,36664365.498679936,-5305.688953349188,8574.259819921252,-4676.4334952996405
271,-56005533.304586984,36658395.86823642,-5305.688953346372,8574.25981992587,-4676.433495303698
272,-55995899.605112,36652003.57636112,-5305.68895334391,8574.259819928919,-4676.433495305508
273,-55986618.831695646,36644641.81075792,-5305.688953344149,8574.259819929828,-4676.433495304627
274,-55977584.54379784,36647464.39052452,-5305.688953344287,8574.259819933299,-4676.433495304566
275,-55968847.52621108,36653130.93694089,-5305.6889533441445,8574.259819936518,-4676.433495304652
276,-55960731.85930775,36649110.575270675,-5305.688953345117,8574.259819937994,-4676.433495304126
277,-55953171.349596895,36644526.30436171,-5305.688953343341,8574.259819939685,-4676.433495302174
278,-55945702.23516369,36641358.477058195,-5305.688953345798,8574.259819940122,-4676.433495298969
279,-55939153.85900692,36640353.637656435,-5305.688953347816,8574.259819938025,-4676.433495295396
280,-55932520.763216265,36636965.56297346,-5305.688953345836,8574.25981993903,-4676.433495293763
281,-55926909.05511645,36636219.01183069,-5305.688953345234,8574.259819941695,-4676.433495293909
282,-55920923.603636965,36634951.83315226,-5305.688953344749,8574.259819939078,-4676.43349529462
283,-55915430.54633378,36634658.223858014,-5305.688953340719,8574.259819936125,-4676.433495291676
284,-55910322.49720255,36640994.32292646,-5305.688953336184,8574.259819934723,-4676.433495286506
285,-55905366.92556289,36643825.58830666,-5305.688953334334,8574.25981993345,-4676.433495286693
286,-55900359.816343635,36647071.458716035,-5305.688953334067,8574.259819933546,-4676.433495291965
287,-55895330.19829285,36643569.99448326,-5305.688953335087,8574.259819932618,-4676.433495294044
288,-55891268.4213756,36644818.201954454,-5305.688953335776,8574.259819930745,-4676.43349529292
289,-55887205.691521354,36649175.43961705,-5305.6889533376825,8574.259819931322,-4676.433495294865
290,-55883458.80871314,36670355.99772777,-5305.688953341727,8574.259819930734,-4676.433495295888
291,-55879595.62540813,36737396.32578089,-5305.688953346802,8574.259819933544,-4676.433495295617
292,-55876310.126845434,36742314.2213987,-5305.688953349443,8574.259819939816,-4676.433495296583
293,-55872765.90761367,36747132.38849561,-5305.6889533497515,8574.259819944542,-4676.433495298908
294,-55869392.83401896,36750246.51013564,-5305.688953346754,8574.25981994601,-4676.433495298202
295,-55866159.14619072,36780870.85523118,-5305.688953343188,8574.2598199452,-4676.433495297695
296,-55862103.96475281,36869487.0823198,-5305.688953342313,8574.259819946,-4676.433495300519
297,-55858384.14999825,36873066.93977889,-5305.688953344047,8574.25981994758,-4676.433495303732
298,-55854247.50325015,36880517.58582497,-5305.688953345709,8574.259819949,-4676.433495304065
299,-55850109.85841164,36911347.873711236,-5305.68895334136,8574.25981995112,-4676.43349530294
300,-55845618.47527699,36989676.98645572,-5305.6889533370095,8574.259819951756,-4676.4334953025855
301,-55840186.869610235,36992818.57960207,-5305.688953339404,8574.259819949544,-4676.433495299927
302,-55834305.85698346,36992573.66944119,-5305.688953342403,8574.259819949037,-4676.433495296549
303,-55828730.220736936,36990031.146523334,-5305.688953343212,8574.25981995009,-4676.433495296355
304,-55822313.12663497,36987005.69320126,-5305.688953342334,8574.259819949659,-4676.433495295987
305,-55815884.06823082,36985207.32043131,-5305.688953340189,8574.259819947747,-4676.433495294773
306,-55808402.952319935,36991410.95640477,-5305.68895333577,8574.259819947596,-4676.433495296272
